EmployeeId,DateWorked,JobCode,CostCode,PayType,HoursWorked,WorkOrder,Department,Notes
842,2025-07-13,JOB965,0491,OT,6,WO600,Logistics,Night shift
546,2025-07-17,JOB836,0425,DT,8,WO199,Safety,Night shift
519,2025-08-16,JOB952,0438,OT,12,WO709,Safety,Night shift
552,2025-07-07,JOB869,0464,DT,6,WO451,FieldOps,Emergency call
241,2025-06-08,JOB950,0482,OT,6,WO561,Logistics,Overtime
695,2025-05-31,JOB623,0481,REG,12,WO307,FieldOps,Weekend work
751,2025-07-01,JOB624,0489,DT,4,WO261,Maintenance,Overtime
926,2025-08-01,JOB826,0440,REG,12,WO375,Safety,Regular schedule
624,2025-06-21,JOB185,0473,REG,6,WO274,Logistics,Day shift
429,2025-08-06,JOB385,0471,REG,6,WO865,FieldOps,Regular schedule
923,2025-07-30,JOB252,0445,OT,4,WO962,Logistics,Weekend work
190,2025-05-29,JOB879,0498,REG,6,WO434,Maintenance,Day shift
727,2025-08-18,JOB239,0460,OT,8,WO324,Safety,Night shift
881,2025-06-02,JOB640,0465,DT,8,WO938,FieldOps,Weekend work
445,2025-07-22,JOB751,0439,OT,10,WO662,Logistics,Emergency call
431,2025-06-26,JOB865,0473,OT,10,WO941,FieldOps,Emergency call
166,2025-07-28,JOB699,0445,REG,8,WO460,Maintenance,Regular schedule
713,2025-07-20,JOB287,0402,OT,4,WO736,Logistics,Night shift
139,2025-07-31,JOB132,0445,REG,12,WO324,Logistics,Day shift
960,2025-06-23,JOB950,0440,REG,10,WO753,Logistics,Day shift
643,2025-07-25,JOB145,0478,DT,4,WO988,FieldOps,Night shift
180,2025-05-23,JOB492,0429,DT,8,WO689,Maintenance,Day shift
796,2025-06-21,JOB722,0402,DT,12,WO588,Safety,Day shift
215,2025-08-04,JOB373,0418,OT,12,WO419,Safety,Weekend work
317,2025-05-29,JOB411,0431,OT,6,WO596,FieldOps,Emergency call
763,2025-08-01,JOB297,0454,REG,6,WO299,FieldOps,Overtime
188,2025-06-20,JOB430,0451,REG,6,WO718,Safety,Emergency call
557,2025-08-04,JOB786,0423,REG,10,WO971,Maintenance,Regular schedule
143,2025-06-24,JOB520,0495,REG,6,WO564,Maintenance,Overtime
715,2025-07-14,JOB331,0417,REG,8,WO878,Logistics,Overtime
911,2025-08-07,JOB946,0424,REG,10,WO759,Logistics,Overtime
722,2025-08-08,JOB435,0452,OT,8,WO955,Logistics,Day shift
149,2025-07-17,JOB145,0443,DT,10,WO448,FieldOps,Regular schedule
502,2025-06-25,JOB206,0489,DT,6,WO783,FieldOps,Night shift
178,2025-07-04,JOB521,0496,DT,10,WO465,Logistics,Weekend work
378,2025-07-09,JOB198,0461,DT,12,WO198,Maintenance,Day shift
228,2025-06-26,JOB916,0401,OT,4,WO397,Maintenance,Emergency call
613,2025-08-18,JOB287,0479,DT,12,WO883,Maintenance,Overtime
801,2025-06-30,JOB599,0439,DT,12,WO597,Safety,Weekend work
304,2025-06-24,JOB949,0490,REG,8,WO564,Maintenance,Regular schedule
251,2025-08-01,JOB801,0411,DT,12,WO256,Maintenance,Regular schedule
845,2025-05-30,JOB650,0406,DT,6,WO852,FieldOps,Regular schedule
435,2025-08-06,JOB855,0419,OT,4,WO726,FieldOps,Emergency call
435,2025-08-17,JOB928,0447,REG,6,WO857,Maintenance,Weekend work
883,2025-05-29,JOB319,0471,REG,10,WO882,Maintenance,Overtime
378,2025-06-07,JOB154,0433,REG,6,WO519,Logistics,Night shift
272,2025-06-04,JOB390,0452,REG,10,WO941,Logistics,Night shift
939,2025-07-31,JOB977,0423,OT,8,WO517,Logistics,Overtime
507,2025-07-01,JOB847,0421,OT,10,WO656,FieldOps,Overtime
550,2025-08-12,JOB119,0476,REG,8,WO284,Logistics,Regular schedule
786,2025-07-08,JOB806,0460,REG,4,WO864,Logistics,Emergency call
197,2025-05-23,JOB518,0445,OT,12,WO193,Maintenance,Night shift
675,2025-07-20,JOB829,0432,REG,10,WO392,Logistics,Weekend work
299,2025-07-24,JOB434,0423,OT,4,WO177,Maintenance,Weekend work
113,2025-06-18,JOB416,0471,REG,8,WO257,Logistics,Regular schedule
340,2025-07-17,JOB405,0491,DT,12,WO529,Maintenance,Weekend work
956,2025-06-05,JOB810,0485,OT,12,WO687,Logistics,Emergency call
484,2025-07-21,JOB451,0477,REG,12,WO454,FieldOps,Weekend work
885,2025-07-05,JOB864,0433,DT,12,WO135,Maintenance,Day shift
309,2025-06-13,JOB332,0417,OT,10,WO851,FieldOps,Emergency call
831,2025-07-24,JOB298,0469,REG,8,WO931,FieldOps,Regular schedule
779,2025-06-18,JOB455,0480,REG,12,WO217,FieldOps,Weekend work
665,2025-06-07,JOB667,0477,OT,4,WO154,Maintenance,Overtime
116,2025-06-04,JOB320,0461,DT,4,WO688,Safety,Regular schedule
120,2025-07-16,JOB195,0415,OT,10,WO280,Logistics,Regular schedule
773,2025-08-06,JOB827,0494,OT,8,WO722,Maintenance,Weekend work
